0312345678 | Nguyen Van Anh | nguyenvananh03@gmail.com | nguyenvananh03 | 01/02/2004 | 0903123123 | HCM | CNTT | CNTT-01 | student
0392340016 | Vu Van P | vuvanp16@gmail.com | vuvanp16 | 08/03/2003 | 0902340016 | QN | LOG | LOG-06 | student
0392340017 | Bui Thi Q | buithiq17@gmail.com | buithiq17 | 13/06/2004 | 0902340017 | HN | CNTT | CNTT-07 | student
0392340018 | Do Van R | dovanr18@gmail.com | dovanr18 | 20/09/2003 | 0902340018 | HCM | LAW | LAW-04 | student
0392340019 | Pham Van S | phamvans19@gmail.com | phamvans19 | 15/01/2005 | 0902340019 | DN | CNTT | CNTT-08 | student
0392340020 | Nguyen Thi T | nguyenthit20@gmail.com | nguyenthit20 | 02/12/2002 | 0902340020 | HCM | CNTT | CNTT-09 | student
0392340021 | Tran Van U | tranvanu21@gmail.com | tranvanu21 | 07/04/2003 | 0902340021 | HN | KIN | KIN-04 | student
0392340022 | Le Thi V | lethiv22@gmail.com | lethiv22 | 18/05/2004 | 0902340022 | HCM | LOG | LOG-07 | student
0392340023 | Phan Van W | phanvanw23@gmail.com | phanvanw23 | 25/10/2003 | 0902340023 | DN | CNTT | CNTT-10 | student
0392340024 | Nguyen Van X | nguyenvanx24@gmail.com | nguyenvanx24 | 06/08/2002 | 0902340024 | QN | LAW | LAW-05 | student
0392340025 | Tran Thi Y | tranthiy25@gmail.com | tranthiy25 | 28/02/2004 | 0902340025 | HCM | CNTT | CNTT-11 | student
0392340026 | Hoang Van Z | hoangvanz26@gmail.com | hoangvanz26 | 10/09/2003 | 0902340026 | HN | KIN | KIN-05 | student
0392340027 | Vu Thi AA | vuthiaa27@gmail.com | vuthiaa27 | 23/07/2005 | 0902340027 | HCM | LOG | LOG-08 | student
0392340028 | Bui Van BB | buivanbb28@gmail.com | buivanbb28 | 12/11/2002 | 0902340028 | DN | CNTT | CNTT-12 | student
0392340029 | Do Thi CC | dothicc29@gmail.com | dothicc29 | 31/03/2004 | 0902340029 | HCM | LAW | LAW-06 | student
0392340030 | Pham Van DD | phamvandd30@gmail.com | phamvandd30 | 17/06/2003 | 0902340030 | QN | CNTT | CNTT-13 | student
0392340031 | Nguyen Thi EE | nguyenthiee31@gmail.com | nguyenthiee31 | 02/01/2005 | 0902340031 | HCM | KIN | KIN-06 | student
0392340032 | Tran Van FF | tranvanff32@gmail.com | tranvanff32 | 14/10/2002 | 0902340032 | HN | LOG | LOG-09 | student
0392340033 | Le Thi GG | lethigg33@gmail.com | lethigg33 | 05/05/2004 | 0902340033 | DN | CNTT | CNTT-14 | student
0392340034 | Phan Van HH | phanvanhh34@gmail.com | phanvanhh34 | 26/08/2003 | 0902340034 | HCM | LAW | LAW-07 | student
0392340035 | Hoang Thi II | hoangthii35@gmail.com | hoangthii35 | 09/02/2004 | 0902340035 | QN | CNTT | CNTT-15 | student
0392340036 | Vu Van JJ | vuvj36@gmail.com | vuvj36 | 21/12/2002 | 0902340036 | HCM | KIN | KIN-07 | student
0392340037 | Bui Thi KK | buithikk37@gmail.com | buithikk37 | 03/07/2005 | 0902340037 | HN | LOG | LOG-10 | student
0392340038 | Do Van LL | dovall38@gmail.com | dovall38 | 29/11/2003 | 0902340038 | DN | CNTT | CNTT-16 | student
0392340039 | Nguyen Van MM | nguyenvanmm39@gmail.com | nguyenvanmm39 | 08/04/2004 | 0902340039 | HCM | LAW | LAW-08 | student
0392340040 | Tran Thi NN | tranthinn40@gmail.com | tranthinn40 | 16/09/2002 | 0902340040 | QN | CNTT | CNTT-17 | student
0392340041 | Le Van OO | levanoo41@gmail.com | levanoo41 | 27/01/2005 | 0902340041 | HCM | KIN | KIN-08 | student
0392340042 | Pham Thi PP | phamthipp42@gmail.com | phamthipp42 | 11/03/2003 | 0902340042 | HN | LOG | LOG-11 | student
0392340043 | Hoang Van QQ | hoangvanqq43@gmail.com | hoangvanqq43 | 20/06/2004 | 0902340043 | DN | CNTT | CNTT-18 | student
0392340044 | Vu Thi RR | vuthirr44@gmail.com | vuthirr44 | 04/08/2002 | 0902340044 | HCM | LAW | LAW-09 | student
0392340045 | Bui Van SS | buivanss45@gmail.com | buivanss45 | 15/05/2003 | 0902340045 | QN | CNTT | CNTT-19 | student
0392340046 | Do Thi TT | dothitt46@gmail.com | dothitt46 | 01/12/2004 | 0902340046 | HCM | KIN | KIN-09 | student
0392340047 | Phan Van UU | phanvanuu47@gmail.com | phanvanuu47 | 18/10/2003 | 0902340047 | HN | LOG | LOG-12 | student
0392340048 | Nguyen Thi VV | nguyenthivv48@gmail.com | nguyenthivv48 | 06/02/2005 | 0902340048 | DN | CNTT | CNTT-20 | student
0392340049 | Tran Van WW | tranvanww49@gmail.com | tranvanww49 | 24/09/2002 | 0902340049 | HCM | LAW | LAW-10 | student
0392340050 | Le Thi XX | lethixx50@gmail.com | lethixx50 | 30/11/2004 | 0902340050 | QN | CNTT | CNTT-21 | student
